id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4952,Butterfly Inn near Stanford with weekly cleaning,7054,Mei Lin,,Palo Alto,37.43932,-122.15741,Private room,71,14,89,2024-05-17,0.49,5,150,10,
11464,Deluxe Studio near Kaiser SC:Traveler/Tesla intern,42458,Emey,,Santa Clara,37.34415,-121.98701,Entire home/apt,105,3,24,2024-03-23,0.20,11,120,5,
21373,Bonsai Garden near Stanford with weekly cleaning,7054,Mei Lin,,Palo Alto,37.43972,-122.15532,Private room,74,14,275,2024-06-08,1.60,5,279,10,
62799,"Zen Bedroom in Palo Alto, includes weekly cleaning",7054,Mei Lin,,Palo Alto,37.43934,-122.15723,Private room,87,14,162,2024-06-19,1.32,5,257,8,
75284,Garden Oasis walk to Stanford with weekly cleaning,7054,Mei Lin,,Palo Alto,37.43923,-122.15745,Private room,80,14,217,2024-05-12,1.35,5,278,8,
118903,"Entire Guest Suite, Entrance@ House of Chauncey",600040,Rey,,Sunnyvale,37.38466,-122.03628,Entire home/apt,106,5,148,2024-05-14,0.93,1,42,15,2021-7703
134606,"Private Room, Cozy Home Downtown SJ",660433,Veronica,,San Jose,37.34602,-121.88821,Private room,70,1,186,2023-05-12,1.19,1,0,0,
172259,"Studio with a private bath, wet bar and small frig",821982,Grace,,Palo Alto,37.40312,-122.12661,Private room,,2,17,2024-01-01,0.29,7,0,1,
211039,we GOT A POOL,1066672,Jason,,Campbell,37.28774,-121.92726,Private room,,1,0,,,1,0,0,
231717,B&B: Quiet Bedroom & Bathroom,1211619,Yael,,Santa Clara,37.34751,-121.98418,Private room,89,1,146,2018-01-25,0.97,1,347,0,
251163,Family-friendly condo near downtown,398213,Dave,,Mountain View,37.38406,-122.08022,Entire home/apt,,300,0,,,1,0,0,
263527,"Spacious house with 5 bedrooms, 3 bathrooms",79924,Khanh,,San Jose,37.27708,-121.82955,Entire home/apt,1200,2,13,2018-08-12,0.09,2,365,0,
307827,Lovely Private Garden Cottage,1169996,Marlene,,Palo Alto,37.42938,-122.13718,Entire home/apt,165,2,146,2024-06-17,0.97,1,323,6,
310377,Little room in a little house/LOL. Littleoldlady,957234,Margaret,,Palo Alto,37.4289,-122.13015,Private room,75,2,61,2024-06-15,0.41,1,41,1,
315339,Saratoga Silicon Valley  Victorian,1587385,Paul,,Saratoga,37.2527,-122.03865,Entire home/apt,325,30,13,2023-10-25,0.09,2,175,2,
338075,COZY ROOM IN FAMILY HOME,1717096,Deb,,Mountain View,37.37049,-122.09542,Private room,69,30,49,2023-10-01,0.33,1,249,2,
373628,"Suite in Grand Villa, Very private- Upscale Area.",1879455,Joseph,,Saratoga,37.24516,-122.01955,Private room,109,90,75,2024-04-27,0.50,6,337,5,
373730,Spacious Sunny Room in Sweet Home,1880028,Erin,,Palo Alto,37.41783,-122.13384,Private room,105,2,47,2024-04-30,0.32,1,319,3,
